#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
61900	1618.0	1618.0
62000	1614.0	1614.0
62100	1630.0	1630.0
62200	1635.0	1635.0
62300	1645.0	1645.0
62400	1652.0	1652.0
62500	1637.0	1637.0
62600	1656.0	1656.0
62700	1656.0	1656.0
62800	1646.0	1646.0
62900	1657.0	1657.0
63000	1650.0	1650.0
63100	1661.0	1661.0
63200	1658.0	1658.0
63300	1665.0	1665.0
63400	1691.0	1691.0
63500	1658.0	1658.0
63600	1662.0	1662.0
63700	1665.0	1665.0
63800	1687.0	1687.0
63900	1674.0	1674.0
64000	1697.0	1697.0
64100	1682.0	1682.0
64200	1676.0	1676.0
64300	1691.0	1691.0
64400	1693.0	1693.0
64500	1687.0	1687.0
64600	1701.0	1701.0
64700	1698.0	1698.0
64800	1696.0	1696.0
64900	1729.0	1729.0
65000	1704.0	1704.0
65100	1711.0	1711.0
65200	1728.0	1728.0
65300	1702.0	1702.0
65400	1710.0	1710.0
65500	1708.0	1708.0
65600	1723.0	1723.0
65700	1693.0	1693.0
65800	1706.0	1706.0
65900	1703.0	1703.0
66000	1723.0	1723.0
66100	1747.0	1747.0
66200	1754.0	1754.0
66300	1757.0	1757.0
66400	1757.0	1757.0
66500	1753.0	1753.0
66600	1764.0	1764.0
66700	1764.0	1764.0
66800	1776.0	1776.0
66900	1753.0	1753.0
67000	1792.0	1792.0
67100	1765.0	1765.0
67200	1784.0	1784.0
67300	1787.0	1787.0
67400	1787.0	1787.0
67500	1792.0	1792.0
67600	1780.0	1780.0
67700	1788.0	1788.0
67800	1786.0	1786.0
67900	1795.0	1795.0
68000	1803.0	1803.0
68100	1804.0	1804.0
68200	1800.0	1800.0
68300	1801.0	1801.0
68400	1809.0	1809.0
68500	1824.0	1824.0
68600	1811.0	1811.0
68700	1843.0	1843.0
68800	1833.0	1833.0
68900	1842.0	1842.0
69000	1867.0	1867.0
69100	1845.0	1845.0
69200	1846.0	1846.0
69300	1862.0	1862.0
69400	1849.0	1849.0
69500	1854.0	1854.0
69600	1856.0	1856.0
69700	1863.0	1863.0
69800	1848.0	1848.0
69900	1852.0	1852.0
70000	1869.0	1869.0
70100	1872.0	1872.0
70200	1874.0	1874.0
70300	1876.0	1876.0
70400	1862.0	1862.0
70500	1894.0	1894.0
70600	1899.0	1899.0
70700	1910.0	1910.0
70800	1914.0	1914.0
70900	1888.0	1888.0
71000	1922.0	1922.0
71100	1904.0	1904.0
71200	1932.0	1932.0
71300	1892.0	1892.0
71400	1903.0	1903.0
71500	1891.0	1891.0
71600	1916.0	1916.0
71700	1924.0	1924.0
71800	1929.0	1929.0
71900	1932.0	1932.0
72000	1933.0	1933.0
72100	1957.0	1957.0
72200	1941.0	1941.0
72300	1954.0	1954.0
72400	1945.0	1945.0
72500	1956.0	1956.0
72600	1962.0	1962.0
72700	1951.0	1951.0
72800	1954.0	1954.0
72900	1932.0	1932.0
73000	1951.0	1951.0
73100	1964.0	1964.0
73200	1943.0	1943.0
73300	1985.0	1985.0
73400	1968.0	1968.0
73500	1980.0	1980.0
73600	1984.0	1984.0
73700	1982.0	1982.0
73800	1997.0	1997.0
73900	1974.0	1974.0
74000	2006.0	2006.0
74100	1991.0	1991.0
74200	1999.0	1999.0
74300	2005.0	2005.0
74400	2007.0	2007.0
74500	2019.0	2019.0
74600	2012.0	2012.0
74700	2023.0	2023.0
74800	1996.0	1996.0
74900	2024.0	2024.0
75000	2027.0	2027.0
75100	2028.0	2028.0
75200	2023.0	2023.0
75300	2018.0	2018.0
75400	2007.0	2007.0
75500	2037.0	2037.0
75600	2035.0	2035.0
75700	2028.0	2028.0
75800	2045.0	2045.0
75900	2049.0	2049.0
76000	2044.0	2044.0
76100	2054.0	2054.0
76200	2051.0	2051.0
76300	2059.0	2059.0
76400	2075.0	2075.0
76500	2054.0	2054.0
76600	2073.0	2073.0
76700	2082.0	2082.0
76800	2084.0	2084.0
76900	2097.0	2097.0
77000	2103.0	2103.0
77100	2085.0	2085.0
77200	2089.0	2089.0
77300	2080.0	2080.0
77400	2098.0	2098.0
77500	2095.0	2095.0
77600	2099.0	2099.0
77700	2093.0	2093.0
77800	2105.0	2105.0
77900	2120.0	2120.0
78000	2099.0	2099.0
78100	2087.0	2087.0
78200	2102.0	2102.0
78300	2129.0	2129.0
78400	2099.0	2099.0
78500	2130.0	2130.0
78600	2110.0	2110.0
78700	2133.0	2133.0
78800	2132.0	2132.0
78900	2124.0	2124.0
79000	2137.0	2137.0
79100	2133.0	2133.0
79200	2126.0	2126.0
79300	2125.0	2125.0
79400	2141.0	2141.0
79500	2147.0	2147.0
79600	2137.0	2137.0
79700	2119.0	2119.0
79800	2153.0	2153.0
79900	2159.0	2159.0
80000	2147.0	2147.0
80100	2129.0	2129.0
80200	2136.0	2136.0
80300	2163.0	2163.0
80400	2157.0	2157.0
