#MCS	Total_energy
78600	318844.3854780204
78700	319755.3247414155
78800	320275.0007580588
78900	320324.17304574297
79000	321098.3816328775
79100	321085.53119790595
79200	321654.13781079644
79300	321230.54816162266
79400	322473.1928722791
79500	322613.7978762387
79600	323327.3651297118
79700	323433.8361728027
79800	324240.4299745054
79900	324113.6760870837
80000	324370.25341273897
80100	324772.2407778682
80200	325112.14485938696
80300	325628.62455225387
80400	325960.2464041276
80500	326211.2607440199
80600	327218.7885492191
80700	327826.6323278945
80800	328461.92112293275
80900	328149.6911666339
81000	328201.95061183575
81100	329580.3310877471
81200	330103.04438804765
81300	329615.0055717694
81400	330511.8468802933
81500	331239.53604396246
81600	331838.0248285105
81700	331821.6788879488
81800	332286.211529266
81900	332392.2737941154
82000	333223.95329982357
82100	332988.1221106382
82200	333200.6077088793
82300	334337.231278955
82400	334906.2994809903
82500	334410.95393535326
82600	335178.8971620216
82700	335323.48581888375
82800	335461.4907345804
82900	336372.25597957434
83000	336331.0518980463
83100	337035.43337491376
83200	337680.142685011
83300	337701.3501794811
83400	337806.26979739557
83500	338713.5277987813
83600	339429.0784506931
83700	339495.55654995725
83800	339146.53709258465
83900	339959.62183788593
84000	340792.5421175543
84100	340697.9588698676
84200	341686.41142323153
84300	342332.55536323535
84400	343022.68377527717
84500	342510.62418871373
84600	343309.10638664814
84700	344016.41922421154
84800	344047.2072950957
84900	345260.08346603153
85000	345384.3996709901
85100	345598.6810207737
85200	345962.7709059698
85300	346354.6034753233
85400	346951.3821659505
85500	346945.3060174435
85600	348202.36867809197
85700	348982.6527858858
85800	348491.8529309158
85900	348261.84972008027
86000	349593.9946745559
86100	350943.5749594438
86200	350909.43609112024
86300	350137.5879401856
86400	351918.3920634945
86500	352026.1925544396
86600	352508.7584661991
86700	352718.14878875134
86800	352117.0215895297
86900	354335.1313941494
87000	354485.34472035157
87100	354962.3336940002
87200	355730.25912926963
87300	355720.04221306334
87400	355567.02345479955
87500	355738.4287201536
87600	356802.6215387277
87700	358063.58191967406
87800	358218.7101549555
87900	357421.46635684354
88000	358776.59073758277
88100	359186.32657587354
88200	359227.8906946111
88300	360119.7525864471
88400	360061.8785452262
88500	360786.0752083781
88600	360702.43068219937
88700	362586.7067955767
88800	361445.43645838945
88900	361827.9373290655
89000	362409.5355179179
89100	362717.30935681437
89200	363970.84457419696
89300	364534.74956583994
89400	364287.60623677616
89500	365041.711149893
89600	365605.5045367075
89700	365359.9642239855
89800	365802.1032020306
89900	366261.39587416255
90000	366886.53620398947
90100	368106.81500021915
90200	368546.338206265
90300	367712.5818062551
90400	369131.9424767786
90500	370218.91939419357
90600	370350.2067472379
90700	370938.39144977904
90800	370992.6045818997
90900	371680.6141598978
91000	371539.04847943445
91100	373145.1661422921
91200	373734.88236622495
91300	373151.55905975914
91400	374134.3778899331
91500	374164.59188646
91600	374635.5062380161
91700	375910.9253545061
91800	375894.3906058936
91900	376651.99859644775
92000	378130.86681189924
92100	377450.09577970346
92200	377757.2498355506
92300	379010.9886586115
92400	379326.0518035573
92500	379713.1886016675
92600	379984.0298898822
92700	379731.89804638876
92800	380193.6598749171
92900	381567.2172733491
93000	381902.82003357954
93100	382926.7766524692
93200	382955.01238695806
93300	383286.9518814185
93400	384298.641889283
93500	384943.0393610448
93600	385684.51732358756
93700	386531.5856540345
93800	387063.9189771317
93900	387082.9127451045
94000	388369.2068269826
94100	388559.7230754871
94200	389004.7419478016
94300	389330.0381213374
94400	389746.6939819083
94500	390237.8245752364
94600	390694.1279431319
94700	391932.7854423286
94800	393128.5598265962
94900	393488.58953051333
95000	393314.8510116361
95100	394230.64865674864
95200	393826.3612554619
95300	395425.9801445902
95400	395549.72256435186
95500	396981.1822476637
95600	397550.2205857575
95700	397023.78657714836
95800	396799.6757541964
95900	398369.8333158014
96000	397812.1413013362
96100	399670.236473363
96200	399466.88092087896
96300	400419.5830581917
96400	401067.1952430229
96500	402261.1523032987
96600	402936.0446538749
96700	403432.5709420067
96800	404347.0411773039
96900	404547.65338237805
97000	405159.8925611126
97100	405252.56149072346
97200	405014.4141827673
97300	407387.8954385754
97400	406238.3698584424
97500	408156.6892266997
97600	408467.93712260434
97700	409172.7055711794
97800	409841.9677871716
97900	409162.3761221965
98000	411050.459954064
98100	412361.525209368
98200	411970.8332633084
98300	413014.98858122685
98400	413060.1855369393
98500	413323.529728215
98600	413376.8708369389
98700	415796.52710477385
98800	416166.1533436663
98900	416606.3604938936
99000	417241.3808207806
99100	417968.12375713716
99200	418373.5937714923
99300	418875.4052759957
99400	420239.96530877217
99500	420880.53708820965
99600	420750.3600401607
99700	421369.41240880196
99800	422385.0132219108
99900	422643.2443171577
100000	423944.1844371472
100100	423582.7056093867
100200	425131.00253854675
100300	425101.5511117207
100400	425947.75442653615
100500	427085.83101036964
100600	426902.6458917174
100700	427581.74163662543
100800	428222.2475258569
100900	429197.4092219865
101000	429094.61452619516
101100	429773.7229325922
101200	430849.88758399413
101300	431615.63226811966
101400	432486.67476764496
101500	433911.7101553075
101600	433382.5599445181
101700	433777.27504316205
101800	434845.65420208604
101900	435392.1974910619
102000	435819.1781661687
102100	437855.2741329827
102200	437646.0686096888
102300	437419.6948115258
102400	437328.97473602975
102500	437958.14834578923
102600	440983.40263129986
102700	440094.6511498648
102800	440877.3518746358
102900	443125.8217046071
103000	443905.85451817204
103100	443188.0287473981
103200	444078.0271334913
103300	445716.16826519126
103400	445572.5325769276
103500	446973.7029208448
103600	447329.6683080177
103700	447449.39103181055
103800	448759.3096435834
103900	449638.389083819
104000	450424.9769095475
104100	449570.97660228965
104200	451360.8849432693
104300	452305.1535318329
104400	452513.7091541876
104500	452630.77649518463
104600	454243.6698459008
104700	453565.087252113
104800	454566.33827353467
104900	455053.96519045666
105000	456696.142469257
105100	456906.875652117
105200	457773.83272854646
105300	458629.4241391208
105400	458540.3926541324
105500	459478.2734884919
105600	460387.3301182292
105700	461329.9981899882
