#MCS	Total_cells	P_mean	P10	P20	P30	P40	P50	P60	P70	P75	P80	P90	P95	P99	P_max
35300	100	33.3535736786463	28.551827704328208	30.024775362999208	31.66127845813753	32.42477545836664	33.89546495290688	34.82477555373407	35.27153135322114	36.080305669564495	36.23920436225453	37.87935873775059	38.04862646397942	41.495023360596115	41.54596600145851
35400	100	33.86764335477878	28.80106491086044	30.136214106448097	32.05510809858352	32.42477545836664	34.549302521035315	34.82477555373407	36.032123068912185	36.16759547743277	36.25737300190995	38.33260243912264	39.77729630954273	42.024775839836366	42.024775839836366
35500	100	34.50822922381063	30.024775362999208	30.758011422739763	32.42477545836664	33.98059251412833	34.82477555373407	35.77160702356741	36.32661982624741	37.2247756491015	37.33467857639844	39.14019229199639	39.77111718678161	43.16482524092444	44.4247759352038
35600	100	33.554484362995815	27.527869677864963	30.024775362999208	31.749931257302705	32.493514764215796	34.471284724862926	34.839575045839595	36.18676249963009	36.40384272459232	37.2247756491015	38.52821812607927	39.817250150647396	41.71407781072565	42.024775839836366
35700	100	34.225415499473314	28.697553103299832	30.024775362999208	32.419999881409424	33.93725831727825	34.82477555373407	36.019126243084614	37.2247756491015	37.2247756491015	37.9984065861594	39.72805558819091	40.22257286329868	43.348664683075846	44.4247759352038
35800	100	34.21023563117732	28.04873216711858	30.052730314457584	32.42477545836664	34.4529043607472	35.21029836839307	36.19263881173028	36.47085520450655	36.787358263138685	37.2247756491015	38.58942047428483	39.624775744468934	40.23775898960538	41.524268003986435
35900	100	34.40332526222908	29.356909927873858	30.803754371967443	32.42477545836664	34.745471654777795	34.82477555373407	36.1576418644152	36.48222880039666	36.873470473992256	37.2247756491015	38.26922643372145	39.749563384862356	42.4452111547631	44.4247759352038
36000	100	34.21906383764155	29.345455307815975	30.853477118452975	32.42477545836664	33.788959371011515	34.82477555373407	35.77469967485267	36.445402629497224	37.12988969314347	37.23806220402948	39.554496590076454	39.66840188798896	41.66027681996352	43.60833319535959
36100	100	34.17631229413958	28.641346363455796	30.04766561732613	32.42477545836664	33.57238863700259	34.82477555373407	35.128222946372986	36.326906844062066	37.2247756491015	38.01374075323365	39.517924478008176	40.01225609640924	40.57883612900741	40.72260939485204
36200	100	33.902698324273516	27.624775267631776	30.024775362999208	32.07657675646205	32.78631276060969	34.784649126961995	35.38838193606316	36.273605301284626	36.59730509129349	37.274855415945424	39.636348205126524	40.38379722426207	42.374191199244606	43.67055700962919
