#MCS	Mean_volume
82000	48.55681818181818
82100	48.53977272727273
82200	48.61363636363637
82300	48.40112994350282
82400	48.258426966292134
82500	47.642458100558656
82600	47.899441340782126
82700	47.94972067039106
82800	47.977653631284916
82900	48.29050279329609
83000	48.13966480446928
83100	47.87777777777778
83200	48.0
83300	48.144444444444446
83400	48.111111111111114
83500	47.988950276243095
83600	47.93370165745856
83700	48.29281767955801
83800	48.18232044198895
83900	47.972375690607734
84000	48.392265193370164
84100	48.28176795580111
84200	48.120879120879124
84300	48.1978021978022
84400	48.29120879120879
84500	48.13186813186813
84600	48.505494505494504
84700	48.256830601092894
84800	47.84782608695652
84900	47.71351351351351
85000	47.87567567567567
85100	47.85945945945946
85200	47.88648648648649
85300	47.95135135135135
85400	48.043243243243246
85500	48.14594594594595
85600	48.33513513513513
85700	48.263440860215056
85800	47.946236559139784
85900	48.134408602150536
86000	48.30107526881721
86100	48.236559139784944
86200	48.39784946236559
86300	48.483870967741936
86400	48.160427807486634
86500	48.24064171122995
86600	48.24598930481283
86700	47.80952380952381
86800	47.883597883597886
86900	48.01587301587302
87000	47.82010582010582
87100	48.142857142857146
87200	47.72251308900523
87300	47.70680628272251
87400	47.76439790575916
87500	47.86387434554974
87600	47.645833333333336
87700	47.84375
87800	47.9375
87900	47.604166666666664
88000	47.703125
88100	47.744791666666664
88200	47.901041666666664
88300	47.83419689119171
88400	47.751295336787564
88500	47.95854922279793
88600	47.880829015544045
88700	47.57216494845361
88800	47.69072164948454
88900	47.829896907216494
89000	47.8974358974359
89100	47.29081632653061
89200	47.101522842639596
89300	47.13705583756345
89400	47.34010152284264
89500	47.40609137055838
89600	47.53807106598985
89700	47.60406091370558
89800	47.24747474747475
89900	47.31818181818182
90000	47.42424242424242
90100	47.535353535353536
90200	47.63636363636363
90300	47.11557788944724
90400	47.33165829145729
90500	47.17
90600	47.295
90700	47.105
90800	47.19
90900	47.175
91000	47.37
91100	47.26
91200	47.36318407960199
91300	47.27363184079602
91400	47.49751243781095
91500	47.56218905472637
91600	47.45273631840796
91700	47.82587064676617
91800	47.73134328358209
91900	47.666666666666664
92000	47.82089552238806
92100	47.48514851485149
92200	47.45812807881774
92300	47.28431372549019
92400	47.200980392156865
92500	47.10243902439024
92600	47.06341463414634
