#MCS	Total_cells	Percent_div_0	Percent_div_1	Percent_div_2	Percent_div_3	Percent_div_4	Percent_div_5	Percent_div_6	Percent_div_7	Percent_div_8	Percent_div_9	Percent_div_10
90200	182	20.87912087912088	57.14285714285714	21.978021978021978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90300	182	20.87912087912088	57.14285714285714	21.978021978021978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90400	182	20.87912087912088	57.14285714285714	21.978021978021978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90500	182	20.87912087912088	57.14285714285714	21.978021978021978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90600	182	20.87912087912088	57.14285714285714	21.978021978021978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90700	183	20.76502732240437	56.284153005464475	22.950819672131146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90800	184	20.108695652173914	57.065217391304344	22.82608695652174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90900	184	20.108695652173914	57.065217391304344	22.82608695652174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91000	184	20.108695652173914	57.065217391304344	22.82608695652174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91100	184	20.108695652173914	57.065217391304344	22.82608695652174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91200	185	20.0	56.21621621621622	23.783783783783786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91300	185	20.0	56.21621621621622	23.783783783783786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91400	185	20.0	56.21621621621622	23.783783783783786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91500	185	20.0	56.21621621621622	23.783783783783786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91600	185	20.0	56.21621621621622	23.783783783783786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91700	187	19.786096256684495	54.54545454545454	25.668449197860966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91800	187	19.786096256684495	54.54545454545454	25.668449197860966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91900	187	19.786096256684495	54.54545454545454	25.668449197860966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92000	187	19.786096256684495	54.54545454545454	25.668449197860966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92100	187	19.786096256684495	54.54545454545454	25.668449197860966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92200	187	19.786096256684495	54.54545454545454	25.668449197860966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92300	187	19.786096256684495	54.54545454545454	25.668449197860966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92400	187	19.786096256684495	54.54545454545454	25.668449197860966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92500	188	19.148936170212767	55.319148936170215	25.53191489361702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92600	191	18.848167539267017	52.879581151832454	28.272251308900525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92700	191	18.848167539267017	52.879581151832454	28.272251308900525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92800	191	18.848167539267017	52.879581151832454	28.272251308900525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92900	191	18.848167539267017	52.879581151832454	28.272251308900525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93000	192	18.229166666666664	53.645833333333336	28.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93100	193	17.616580310880828	54.40414507772021	27.979274611398964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93200	193	17.616580310880828	54.40414507772021	27.979274611398964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93300	193	17.616580310880828	54.40414507772021	27.979274611398964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93400	193	17.616580310880828	54.40414507772021	27.979274611398964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93500	194	17.525773195876287	53.608247422680414	28.865979381443296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93600	194	17.525773195876287	53.608247422680414	28.865979381443296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93700	194	17.525773195876287	53.608247422680414	28.865979381443296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93800	194	17.525773195876287	53.608247422680414	28.865979381443296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93900	194	17.525773195876287	53.608247422680414	28.865979381443296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94000	194	17.525773195876287	53.608247422680414	28.865979381443296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94100	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94200	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94300	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94400	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94500	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94600	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94700	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94800	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94900	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95000	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95100	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95200	196	17.346938775510203	52.04081632653062	30.612244897959183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
