#MCS	Mean_pressure	{Cells_over_pressure_threshold}
101900	32.44595498020087	61
102000	32.371858887692206	59
102100	32.23027982101885	65
102200	32.40281796016796	64
102300	32.83157334838073	79
102400	32.46434246033212	66
102500	32.93508922627322	67
102600	31.998266720868013	68
102700	32.61110718431922	67
102800	32.78272016423016	71
102900	32.105432597261	67
103000	32.54107456191799	68
103100	32.7399940574821	67
103200	32.643471438283825	73
103300	32.776441195656105	72
103400	32.89847661869261	68
103500	32.663030700918526	65
103600	32.78838724684305	60
103700	32.92928568640909	70
103800	32.7130713081638	75
103900	32.40098892349723	62
104000	32.287897489765584	66
104100	32.72040735988961	65
104200	32.57194208113631	67
104300	32.43502304269332	65
104400	32.60913035280636	69
104500	32.91415388413706	70
104600	32.56577969376952	63
104700	32.83417669668238	69
104800	32.921887991740824	68
104900	33.02576492260705	74
105000	32.64547995528845	64
105100	32.691838276544026	65
105200	32.47182977995046	65
105300	32.53995420278222	67
105400	32.743386800696015	70
105500	32.56662496771678	67
105600	32.24067289092468	65
105700	32.37747623218614	67
105800	32.4409423512645	62
105900	32.616896411897805	66
106000	32.77158295511911	68
106100	32.738850618264564	70
106200	32.736384645429496	74
106300	32.79464688709235	68
