#MCS	VolumeEnergy
7110	1634.0
7120	1820.0
7130	1884.0
7140	1582.0
7150	1610.0
7160	1804.0
7170	1762.0
7180	1804.0
7190	1546.0
7200	1530.0
7210	1732.0
7220	1436.0
7230	1608.0
7240	1618.0
7250	1510.0
7260	1420.0
7270	1822.0
7280	1736.0
7290	1718.0
7300	1824.0
7310	1834.0
7320	1830.0
7330	1688.0
7340	1688.0
7350	1486.0
7360	1374.0
7370	1614.0
7380	1716.0
7390	1682.0
7400	1860.0
7410	1552.0
7420	1666.0
7430	1738.0
7440	1422.0
7450	1636.0
7460	1586.0
7470	1760.0
7480	1306.0
7490	1584.0
7500	1912.0
7510	1622.0
7520	1466.0
7530	1746.0
7540	1586.0
7550	1878.0
7560	1594.0
7570	1508.0
7580	1860.0
7590	1540.0
7600	1820.0
7610	1302.0
7620	1572.0
7630	1650.0
7640	1490.0
7650	1876.0
7660	1672.0
7670	1488.0
7680	1932.0
7690	1442.0
7700	1738.0
7710	1336.0
7720	1506.0
7730	1540.0
7740	1866.0
7750	1524.0
7760	1532.0
7770	1690.0
7780	1612.0
7790	1494.0
7800	1834.0
7810	1784.0
7820	1472.0
7830	1504.0
7840	1772.0
7850	1546.0
7860	1428.0
7870	1564.0
7880	1384.0
7890	1862.0
7900	1612.0
7910	1700.0
7920	1560.0
7930	1828.0
7940	1664.0
7950	1518.0
7960	1616.0
7970	1632.0
7980	1416.0
7990	1612.0
8000	1598.0
8010	1686.0
8020	1748.0
8030	1906.0
8040	1858.0
8050	1710.0
8060	1966.0
8070	1644.0
8080	1396.0
8090	1850.0
8100	1642.0
8110	1614.0
8120	1708.0
8130	1738.0
8140	2198.0
8150	1892.0
8160	1496.0
8170	1446.0
8180	1398.0
8190	1402.0
8200	1700.0
8210	1624.0
8220	1830.0
8230	1658.0
8240	1602.0
8250	1834.0
8260	1614.0
8270	1870.0
8280	1914.0
8290	2018.0
8300	1514.0
8310	1720.0
8320	1940.0
8330	1834.0
8340	1470.0
8350	1598.0
8360	1804.0
8370	1704.0
8380	1562.0
8390	1850.0
8400	1726.0
8410	1716.0
8420	1550.0
8430	1712.0
8440	1846.0
8450	1366.0
8460	1650.0
8470	1498.0
8480	1464.0
8490	1634.0
8500	1804.0
8510	1598.0
8520	1712.0
8530	1592.0
8540	1430.0
8550	1542.0
8560	1582.0
8570	1784.0
8580	1658.0
8590	1578.0
8600	1442.0
8610	1738.0
8620	1534.0
8630	1592.0
8640	1386.0
8650	1338.0
8660	1936.0
8670	1652.0
8680	1342.0
8690	1632.0
8700	1348.0
8710	1530.0
8720	1594.0
8730	1852.0
8740	1442.0
8750	1486.0
8760	1762.0
8770	1402.0
8780	1920.0
8790	1900.0
8800	1398.0
8810	1766.0
8820	1922.0
8830	1596.0
8840	1394.0
8850	1512.0
8860	1368.0
8870	1326.0
8880	1470.0
8890	1630.0
8900	1270.0
8910	1462.0
8920	1378.0
8930	1728.0
8940	1462.0
8950	1630.0
8960	1832.0
8970	1732.0
8980	1646.0
8990	1574.0
9000	1614.0
9010	1594.0
9020	1808.0
9030	1770.0
9040	1578.0
9050	1566.0
9060	1374.0
9070	1466.0
9080	1444.0
9090	1890.0
9100	1612.0
9110	1854.0
9120	1736.0
9130	1664.0
9140	1606.0
9150	1522.0
9160	1728.0
9170	1684.0
9180	1618.0
9190	1698.0
9200	1640.0
9210	1686.0
9220	1778.0
9230	1746.0
9240	1784.0
9250	1648.0
9260	1734.0
9270	1578.0
9280	1554.0
9290	1792.0
9300	1590.0
9310	1550.0
9320	1704.0
9330	1556.0
9340	1462.0
9350	1358.0
9360	1554.0
9370	1292.0
9380	1684.0
9390	1478.0
9400	1936.0
9410	1546.0
9420	1622.0
9430	1876.0
9440	1656.0
9450	1730.0
9460	1848.0
9470	1646.0
9480	1836.0
9490	1460.0
9500	1668.0
9510	1738.0
9520	1372.0
9530	1662.0
9540	1758.0
9550	1766.0
9560	1690.0
9570	1930.0
9580	1768.0
9590	1762.0
9600	1568.0
9610	1592.0
9620	1526.0
9630	1970.0
9640	1702.0
9650	1856.0
9660	1694.0
9670	1696.0
9680	1650.0
9690	1470.0
9700	1856.0
9710	1760.0
9720	1662.0
9730	1674.0
9740	1442.0
9750	1424.0
9760	1564.0
9770	1812.0
9780	1834.0
9790	1710.0
9800	1636.0
9810	1720.0
9820	1770.0
9830	1836.0
9840	1304.0
9850	1906.0
9860	1556.0
9870	1614.0
9880	1576.0
9890	1730.0
9900	1970.0
9910	1650.0
9920	1536.0
9930	1744.0
9940	1878.0
9950	1866.0
9960	1692.0
9970	1642.0
9980	1494.0
9990	1714.0
