#MCS	TotalEnergy
9680	21338.0
9690	21654.0
9700	21250.0
9710	21335.0
9720	21486.0
9730	21750.0
9740	21344.0
9750	21471.0
9760	21706.0
9770	21543.0
9780	21350.0
9790	21185.0
9800	21086.0
9810	21080.0
9820	21342.0
9830	21168.0
9840	21285.0
9850	21223.0
9860	21486.0
9870	21600.0
9880	21482.0
9890	21650.0
9900	21492.0
9910	21724.0
9920	21466.0
9930	21292.0
9940	21736.0
9950	21393.0
9960	21299.0
9970	21359.0
9980	20854.0
9990	21360.0
