#MCS	Total_energy
30300	182418.99611120127
30400	182476.51879332817
30500	183073.55786175455
30600	183673.01524551396
30700	184401.74080269068
30800	184696.27633877963
30900	184704.15473812912
31000	185540.7785029068
31100	185348.52386897415
31200	185752.10745701732
31300	185674.46302232996
31400	186305.6990423601
31500	186896.4834035138
31600	186670.49139258047
31700	187116.0198539882
31800	187162.67798508602
31900	188002.36893958284
32000	187644.65637038098
32100	188175.42280042914
32200	189204.30254344764
32300	188886.20137978173
32400	189651.09998624647
32500	189767.48432903396
32600	189909.27730973193
32700	190420.93996900786
32800	190992.93961835114
32900	190316.7025675334
33000	190608.28300743492
33100	192252.74061703082
33200	191387.4063115403
33300	192766.2386687074
33400	192495.1726532759
33500	192978.23293943598
33600	192753.30033213206
33700	193442.46380915845
33800	194150.39444639732
33900	194090.0057809312
34000	193831.84267528183
34100	194686.57417372992
34200	194713.7501617754
34300	195153.76092387957
34400	195003.2054018595
34500	195760.28228327702
34600	196016.91933379963
34700	196279.33084087435
34800	195846.92984340028
34900	196173.16433215173
35000	197102.8655837997
35100	196794.6254066168
35200	197599.00402127704
35300	197753.6464103938
35400	198127.8511700116
35500	197781.87542343212
35600	198642.2823125399
35700	198173.23526509712
35800	198928.90004520828
35900	199318.16972770606
36000	199263.3163465129
36100	199758.1487795707
36200	199351.79553869335
36300	200295.80799521465
36400	200535.36910229432
36500	200483.25437767833
36600	200939.9507820398
36700	200687.17794039455
36800	201828.69742429283
36900	201705.6545655149
37000	201737.32088438532
37100	201972.0971823968
37200	202340.29221460555
37300	202531.09574329777
37400	202809.45479491708
37500	203072.33657526737
37600	202964.97960769484
37700	202996.2898515498
37800	203492.33669218962
37900	203896.4395594275
38000	204047.41213734305
38100	204467.3826430865
38200	204394.0599486706
38300	204648.5158877218
38400	204660.8672414019
38500	205288.88266155176
38600	205296.98439147248
38700	205958.3602112947
38800	205741.9964770416
38900	206511.96540462214
39000	206156.55624428173
39100	206653.45362538527
39200	206659.55098903534
39300	206811.15300619477
39400	207113.47254922712
39500	207359.554788499
39600	207883.3143716865
39700	208271.25369048776
39800	207901.67252131063
39900	208357.79681380346
40000	208997.41872254096
40100	209191.7847471131
40200	208963.28155565038
40300	209159.73403234602
40400	209484.95323038907
40500	209111.02340690367
40600	210181.72694794272
40700	209773.2083854853
40800	209714.2526166076
40900	209330.6508985547
41000	210084.17972523614
41100	209553.48147777322
41200	210682.86272321796
41300	210890.34813761944
41400	210107.05210493444
41500	210657.2058566487
41600	211026.329394278
41700	210997.57774835423
41800	210702.3064287288
41900	210978.4462435191
42000	211215.36915562107
42100	212112.4276443986
42200	212031.5758285331
42300	211707.5892348525
42400	212793.91217718486
42500	212911.77363976074
42600	213176.0901165385
42700	212968.18637868774
42800	212827.18396455282
42900	213166.86159680804
43000	214024.76228105044
43100	214358.3201765671
43200	214062.80344456597
43300	214542.53309302774
43400	213984.02544147044
43500	214475.88613890816
43600	214808.79929851994
43700	214974.3188517252
43800	215391.25316105754
43900	215853.23140362618
44000	215706.1835363657
44100	215822.70147777922
44200	216153.65807425664
44300	216318.2677469964
44400	216445.4630066506
44500	216055.20947877178
44600	216778.30217903046
44700	216525.50624305732
44800	217297.74798481516
44900	217211.7865303728
45000	216760.38256991393
45100	217434.25500078726
45200	218153.5224844027
45300	218031.64307674047
45400	218401.12695256848
45500	218516.54875480745
45600	218295.43723601324
45700	218558.38140804798
45800	218498.59723792833
45900	219134.57340710604
46000	219332.83269124053
46100	218877.67327857614
46200	219325.95003650986
46300	219459.83721458574
46400	219307.13873023962
46500	219308.03506688547
46600	220151.091661588
46700	219933.75467038827
46800	219878.9924049386
46900	220340.77005766146
47000	220463.2552195341
47100	220891.83613068415
47200	221141.85816947915
47300	220561.2555957909
47400	221224.3977176632
47500	221270.75791166842
47600	222110.24972025753
47700	221363.66893940695
47800	221741.8655691879
47900	222514.90498731512
48000	222233.12504939284
48100	222316.4509785786
48200	223076.03661699215
48300	223207.31822859557
48400	223047.69548413213
48500	223815.63025106268
48600	223820.60586670836
48700	223809.50733229777
48800	223920.20204300305
48900	223580.89051538278
49000	224142.03767242562
49100	224559.0561394439
49200	224316.68644071804
49300	225214.48990166414
49400	224928.47698213547
49500	225130.2075107411
49600	225799.58014462035
49700	225735.7240132789
49800	225754.75722057992
49900	226172.7935330838
50000	225704.61926887577
50100	225896.92669608298
50200	226971.08079326976
50300	226643.82826607858
50400	227207.18017220416
50500	227013.03034618864
50600	226559.52886547497
50700	227154.36873733564
50800	227622.98291995696
50900	228158.10955324006
51000	227775.58436877845
51100	228231.49508150265
51200	228427.76718008946
51300	228540.5371816408
51400	228852.50472357625
51500	228599.8176085861
51600	228871.59332693423
51700	229168.70964501853
51800	228944.36450451362
51900	229890.11759445848
52000	229869.518698681
52100	229199.61839771387
52200	229660.42548164152
52300	229856.53220166403
52400	230006.8191481447
52500	230053.4414275588
52600	230340.89375574756
52700	230368.02014225992
52800	230679.70847548728
52900	231267.90650825843
53000	231993.69546446964
53100	231332.03288133518
53200	232072.34995031476
53300	232256.7023974458
53400	232077.7408440591
53500	232155.9959572738
53600	232235.71064803787
53700	232273.53358120314
53800	233093.18422056828
53900	232878.89814515525
54000	233133.82512507986
54100	233488.6135326212
54200	234238.13327265013
54300	233432.5858561137
54400	233826.07025526394
54500	234248.0377799576
54600	233928.87947512718
54700	233715.52790779565
54800	234468.5466989001
54900	234979.01575736742
55000	235057.10549132212
55100	235062.99825840018
55200	235283.28720319667
55300	236600.5865666245
55400	236046.85729861743
55500	236514.3233079882
55600	236333.58348435062
55700	236853.91436138516
55800	236715.3848553947
55900	237316.64488177688
56000	238024.48529347678
56100	237762.62774589035
56200	238175.63879215403
56300	237930.68648929975
56400	238447.72636444026
56500	238297.52741661912
56600	239394.23658438824
56700	238449.51020975635
56800	239315.03163213303
56900	239388.52413602843
57000	239511.4755501071
57100	239871.16935657285
57200	239508.98532337448
57300	240351.6530923232
57400	240591.17871527665
57500	241061.69010288976
57600	240801.6368410376
57700	241100.7694132788
57800	241858.66690473392
57900	242221.11527469766
58000	241424.2813310589
58100	242399.385893994
58200	242792.91288868172
58300	242998.7882429421
58400	243326.9858807978
58500	243927.23737289733
58600	243572.33592913987
58700	244418.74807502684
58800	243355.49967885454
58900	243882.3122683555
59000	244842.0621216774
59100	244388.52347016588
59200	245591.7215839784
59300	244300.47401258248
59400	245423.57242463226
59500	245969.52613009038
59600	246211.00030448084
59700	245952.65858665158
59800	246591.41457229064
59900	247085.18123505078
60000	246376.982016976
60100	246912.3059225283
60200	246817.14683599514
60300	246840.10750884764
60400	247526.00534075932
60500	247909.07076225022
60600	248280.65935584065
60700	248306.59919665215
60800	248287.4926779591
60900	249030.76834576804
61000	249160.40069999808
