#MCS	Mean_volume
99800	49.41104294478528
99900	49.20858895705521
100000	49.32515337423313
100100	49.558282208588956
100200	49.47239263803681
100300	49.65030674846626
100400	49.374233128834355
100500	49.65644171779141
100600	49.625766871165645
100700	49.40853658536585
100800	49.676829268292686
100900	49.63414634146341
101000	49.59756097560975
101100	49.59756097560975
101200	49.65853658536585
101300	49.448484848484846
101400	49.6
101500	49.144578313253014
101600	49.42168674698795
101700	49.2289156626506
101800	49.16265060240964
101900	49.13253012048193
102000	49.31325301204819
102100	49.51204819277108
102200	49.45783132530121
102300	49.48192771084337
102400	49.704819277108435
102500	49.71686746987952
102600	49.94578313253012
102700	49.8855421686747
102800	50.0
102900	49.90963855421687
103000	50.06024096385542
103100	49.83132530120482
103200	50.21686746987952
103300	50.144578313253014
103400	50.234939759036145
103500	50.31927710843374
103600	50.27710843373494
103700	50.31325301204819
103800	50.63253012048193
103900	50.62048192771084
104000	50.06586826347306
104100	50.41317365269461
104200	50.32335329341317
104300	50.449101796407184
104400	50.51497005988024
104500	50.16766467065868
104600	50.550898203592816
104700	50.69461077844311
104800	50.125
104900	50.36309523809524
105000	50.18343195266272
105100	49.98816568047337
105200	50.11834319526627
105300	50.01176470588236
105400	49.93529411764706
105500	50.09411764705882
105600	49.93529411764706
105700	50.15882352941176
105800	50.11176470588235
105900	50.417647058823526
106000	50.252941176470586
106100	50.44117647058823
106200	50.54705882352941
106300	50.523529411764706
106400	50.26470588235294
106500	50.68235294117647
106600	50.529411764705884
106700	50.54705882352941
106800	50.71176470588235
106900	50.49707602339181
107000	50.39181286549707
107100	50.31976744186046
107200	50.41860465116279
107300	50.098837209302324
107400	50.19186046511628
107500	50.098837209302324
107600	50.31395348837209
107700	50.31976744186046
107800	50.5
107900	50.03468208092485
108000	50.30057803468208
108100	50.23121387283237
108200	50.04597701149425
108300	49.21590909090909
108400	49.43181818181818
108500	49.51704545454545
108600	49.34659090909091
108700	49.46022727272727
108800	49.52840909090909
108900	49.293785310734464
109000	49.68926553672316
109100	49.389830508474574
109200	49.6271186440678
109300	49.18539325842696
109400	49.20224719101124
109500	49.28651685393258
109600	49.337078651685395
109700	49.13966480446928
109800	49.07821229050279
109900	49.23463687150838
110000	48.78888888888889
110100	48.96666666666667
110200	48.44198895027624
110300	48.668508287292816
110400	48.90055248618785
110500	48.92817679558011
110600	48.87845303867403
110700	48.83425414364641
110800	49.05524861878453
110900	48.92265193370166
111000	49.13812154696133
111100	48.84065934065934
111200	48.91208791208791
111300	49.027472527472526
111400	48.989010989010985
111500	48.98351648351648
111600	49.065934065934066
111700	49.09340659340659
111800	48.989010989010985
111900	49.142857142857146
112000	49.13186813186813
112100	49.324175824175825
112200	49.4010989010989
112300	49.73076923076923
112400	49.862637362637365
112500	49.40983606557377
112600	49.44808743169399
112700	49.36065573770492
112800	49.5792349726776
112900	49.4207650273224
113000	49.375
113100	49.04864864864865
113200	49.027027027027025
113300	49.14054054054054
113400	49.11891891891892
113500	49.108108108108105
113600	49.21621621621622
113700	49.10215053763441
113800	49.12903225806452
113900	48.54545454545455
114000	48.705882352941174
114100	48.484042553191486
114200	48.5531914893617
114300	48.734042553191486
114400	48.755319148936174
114500	48.15263157894737
114600	48.310526315789474
114700	48.247368421052634
114800	48.22105263157895
114900	48.23157894736842
115000	48.33684210526316
115100	48.33684210526316
115200	48.54210526315789
115300	48.544502617801044
115400	48.382198952879584
115500	48.24083769633508
115600	47.994791666666664
115700	48.067357512953365
115800	47.84974093264249
115900	48.10880829015544
116000	48.031088082901555
116100	48.39378238341969
116200	48.27461139896373
116300	48.35233160621762
116400	48.409326424870464
116500	48.27979274611399
116600	48.424870466321245
116700	48.40414507772021
116800	47.85641025641026
116900	47.82051282051282
117000	47.89230769230769
117100	48.184615384615384
117200	48.14871794871795
117300	48.333333333333336
117400	48.184615384615384
117500	48.21025641025641
117600	48.282051282051285
117700	48.4
117800	48.62564102564102
117900	48.58974358974359
118000	48.5025641025641
118100	48.51794871794872
118200	48.66153846153846
118300	48.83589743589744
118400	48.86153846153846
118500	49.02564102564103
118600	48.57142857142857
118700	48.66836734693877
118800	48.578680203045685
118900	48.2741116751269
119000	48.46700507614213
119100	48.66497461928934
119200	48.35858585858586
119300	48.5
119400	48.282828282828284
119500	48.77272727272727
119600	48.76262626262626
119700	48.76767676767677
119800	48.82828282828283
119900	48.75757575757576
120000	48.676767676767675
120100	48.87373737373738
120200	48.95959595959596
120300	49.035353535353536
120400	48.974747474747474
120500	49.21212121212121
120600	49.06565656565657
120700	49.1608040201005
120800	48.89
120900	48.675
121000	48.81
121100	48.885
121200	48.79
121300	49.105
121400	49.04
121500	49.21
121600	49.32
121700	49.00995024875622
121800	49.159203980099505
121900	48.940298507462686
122000	49.208955223880594
122100	49.1044776119403
122200	49.19402985074627
122300	49.26865671641791
122400	49.014925373134325
122500	49.39303482587065
122600	49.57213930348259
122700	49.507462686567166
122800	49.45771144278607
122900	49.67661691542288
123000	49.90049751243781
123100	49.84577114427861
123200	49.885572139303484
123300	49.88059701492537
123400	49.91542288557214
123500	49.975124378109456
123600	49.91044776119403
123700	49.92039800995025
123800	49.960199004975124
123900	50.03482587064676
124000	50.37810945273632
124100	50.19402985074627
124200	50.288557213930346
124300	50.492537313432834
124400	50.193069306930695
124500	50.06930693069307
124600	50.26237623762376
124700	50.39108910891089
124800	50.336633663366335
124900	50.336633663366335
125000	50.34653465346535
125100	50.45049504950495
125200	50.47029702970297
125300	50.35960591133005
125400	50.45812807881774
125500	50.13725490196079
125600	50.18627450980392
125700	50.1421568627451
125800	50.205882352941174
125900	50.333333333333336
126000	50.32843137254902
126100	50.36274509803921
126200	50.42156862745098
126300	49.990243902439026
126400	50.15121951219512
126500	50.06341463414634
126600	50.390243902439025
126700	50.12621359223301
126800	50.116504854368934
126900	50.398058252427184
127000	50.320388349514566
127100	50.35436893203884
127200	50.5
127300	50.24154589371981
127400	49.90384615384615
127500	49.96153846153846
127600	50.03365384615385
127700	49.90865384615385
127800	50.04326923076923
127900	50.10576923076923
128000	50.28365384615385
128100	49.952153110047846
128200	50.057416267942585
128300	49.77142857142857
128400	49.819047619047616
128500	49.82380952380952
128600	49.66350710900474
128700	49.556603773584904
128800	49.5377358490566
128900	49.262910798122064
129000	49.03738317757009
129100	48.693023255813955
129200	48.87441860465116
129300	48.92093023255814
129400	48.64351851851852
129500	48.59722222222222
129600	48.75
129700	48.916666666666664
129800	48.898148148148145
129900	48.93981481481482
130000	48.91203703703704
130100	48.815668202764975
130200	49.175115207373274
130300	48.94009216589862
130400	49.036866359447004
130500	49.02304147465438
130600	49.28110599078341
130700	49.12903225806452
130800	49.276497695852534
130900	49.1520737327189
131000	49.35023041474654
131100	49.285714285714285
131200	49.10091743119266
131300	49.055045871559635
131400	49.0958904109589
131500	49.1324200913242
131600	49.073059360730596
131700	49.19178082191781
131800	49.29223744292238
131900	48.95909090909091
132000	48.796380090497735
132100	48.828054298642535
132200	48.8235294117647
132300	49.00452488687783
132400	48.833333333333336
132500	48.73873873873874
132600	48.65470852017937
132700	48.771300448430495
132800	48.75784753363229
132900	49.0
133000	48.89237668161435
133100	48.96860986547085
133200	48.66517857142857
133300	48.75
133400	48.995535714285715
133500	48.97767857142857
133600	48.950892857142854
133700	48.715555555555554
133800	48.87111111111111
133900	48.650442477876105
134000	48.88053097345133
134100	48.82743362831859
134200	48.92920353982301
134300	48.78761061946903
134400	48.88495575221239
134500	48.93805309734513
134600	49.057522123893804
134700	49.13274336283186
134800	49.35398230088496
134900	49.097345132743364
135000	49.19469026548673
135100	49.27433628318584
135200	49.296460176991154
135300	49.584070796460175
135400	49.51327433628319
135500	49.610619469026545
135600	49.73893805309734
135700	49.79203539823009
135800	49.84070796460177
135900	49.703539823008846
136000	49.915929203539825
136100	49.982300884955755
136200	49.924778761061944
136300	50.02654867256637
136400	50.2787610619469
136500	49.863436123348016
136600	49.73684210526316
136700	49.66228070175438
136800	49.76754385964912
136900	49.90350877192982
137000	49.99122807017544
137100	50.00438596491228
137200	50.04385964912281
137300	49.99122807017544
137400	50.32017543859649
137500	49.995633187772924
137600	50.122270742358076
137700	50.082969432314414
137800	50.33187772925764
137900	50.248908296943235
138000	50.37117903930131
138100	50.2882096069869
138200	50.33187772925764
138300	50.3231441048035
138400	50.54148471615721
138500	50.64192139737991
138600	50.48908296943232
138700	50.7117903930131
138800	50.63755458515284
138900	51.0174672489083
139000	51.03493449781659
139100	50.96069868995633
139200	51.1353711790393
139300	50.67391304347826
139400	50.93043478260869
139500	50.87391304347826
139600	50.60344827586207
139700	50.418103448275865
139800	50.64655172413793
139900	50.650862068965516
140000	50.74568965517241
140100	50.80603448275862
140200	50.74568965517241
140300	50.566523605150216
140400	50.76394849785408
140500	50.74678111587983
140600	50.465811965811966
140700	50.74786324786325
140800	50.6025641025641
140900	50.69230769230769
141000	50.68936170212766
141100	49.9662447257384
141200	49.9746835443038
141300	49.9451476793249
141400	50.19409282700422
141500	50.24050632911393
141600	50.23628691983122
141700	50.58227848101266
141800	50.47679324894515
141900	50.552742616033754
142000	50.41772151898734
142100	50.53586497890296
142200	50.41596638655462
142300	50.55042016806723
142400	50.44117647058823
142500	50.22594142259414
142600	50.31380753138075
142700	50.66527196652719
142800	50.38912133891213
142900	50.48117154811715
143000	50.3625
143100	50.45
143200	50.225
143300	50.219917012448136
143400	50.087136929460584
143500	50.30705394190871
143600	50.21487603305785
143700	50.27685950413223
143800	50.231404958677686
143900	50.27272727272727
144000	50.32644628099174
144100	50.28099173553719
144200	50.50413223140496
144300	50.44214876033058
144400	50.53305785123967
144500	50.52892561983471
144600	50.55144032921811
144700	50.465020576131685
144800	50.48148148148148
144900	50.54320987654321
145000	50.67901234567901
145100	50.68724279835391
145200	50.60493827160494
