#MCS	Adhesion_energy
85400	259800.0
85500	259275.0
85600	259132.5
85700	258979.5
85800	260208.0
85900	260467.5
86000	260170.5
86100	260335.5
86200	260845.5
86300	262080.0
86400	260776.5
86500	261234.0
86600	262209.0
86700	261715.5
86800	263692.5
86900	263095.5
87000	263190.0
87100	264271.5
87200	262669.5
87300	263446.5
87400	264525.0
87500	266011.5
87600	265054.5
87700	263931.0
87800	267417.0
87900	266314.5
88000	267727.5
88100	268204.5
88200	265855.5
88300	267361.5
88400	266920.5
88500	267013.5
88600	268443.0
88700	269991.0
88800	268960.5
88900	269511.0
89000	269236.5
89100	268893.0
89200	268960.5
89300	269574.0
89400	270358.5
89500	270682.5
89600	271173.0
89700	271153.5
89800	270579.0
89900	271585.5
90000	272341.5
90100	272464.5
90200	271996.5
90300	270949.5
90400	271540.5
90500	271323.0
90600	272142.0
90700	274419.0
90800	274062.0
90900	271417.5
91000	273366.0
91100	273490.5
91200	274704.0
91300	275263.5
91400	274818.0
91500	275112.0
91600	274620.0
91700	274507.5
91800	274812.0
91900	276352.5
92000	275215.5
92100	275031.0
92200	276582.0
92300	275301.0
92400	276333.0
92500	276879.0
92600	278458.5
92700	279517.5
92800	276978.0
92900	278454.0
93000	279036.0
93100	280104.0
93200	279004.5
93300	279073.5
93400	279801.0
93500	278965.5
93600	282040.5
93700	280761.0
93800	282216.0
93900	282243.0
94000	282172.5
94100	281886.0
94200	283236.0
94300	282378.0
94400	283236.0
94500	283599.0
94600	283258.5
94700	284910.0
94800	284821.5
94900	283333.5
95000	285399.0
95100	285097.5
95200	284650.5
95300	285759.0
95400	284529.0
95500	286672.5
95600	285616.5
95700	287463.0
95800	287404.5
95900	286072.5
96000	285546.0
96100	287283.0
96200	286402.5
96300	288532.5
96400	287022.0
96500	288340.5
96600	289837.5
96700	290206.5
96800	288744.0
96900	289767.0
97000	291124.5
97100	290265.0
97200	290967.0
97300	291097.5
97400	292281.0
97500	290493.0
97600	291946.5
97700	291879.0
97800	291931.5
97900	290982.0
98000	293880.0
98100	292887.0
98200	294498.0
98300	294693.0
98400	294297.0
98500	293532.0
98600	293982.0
98700	292795.5
98800	295659.0
98900	297084.0
99000	295737.0
99100	294405.0
99200	296707.5
99300	295992.0
99400	295935.0
99500	295729.5
99600	297354.0
99700	296820.0
99800	296809.5
99900	297526.5
100000	298051.5
100100	298552.5
100200	297576.0
100300	299025.0
100400	297832.5
100500	299874.0
100600	299187.0
100700	300073.5
100800	300742.5
100900	301267.5
101000	300411.0
101100	297651.0
101200	301606.5
101300	299665.5
101400	298654.5
101500	300081.0
101600	301843.5
101700	300924.0
101800	301623.0
101900	301887.0
102000	300505.5
102100	303048.0
102200	301722.0
102300	301711.5
102400	301645.5
102500	301128.0
102600	303307.5
102700	303372.0
102800	304203.0
102900	304482.0
103000	303715.5
103100	303489.0
103200	303912.0
103300	305430.0
103400	305734.5
103500	304693.5
103600	304969.5
103700	305550.0
103800	306754.5
103900	306033.0
104000	306067.5
104100	307180.5
104200	306687.0
104300	306913.5
104400	306526.5
104500	308481.0
104600	307329.0
104700	307387.5
104800	307861.5
104900	305638.5
105000	308395.5
105100	307671.0
105200	307314.0
105300	306895.5
105400	307491.0
105500	310020.0
105600	309208.5
105700	310272.0
105800	310776.0
105900	309409.5
106000	310375.5
106100	311154.0
106200	310176.0
106300	311454.0
106400	310557.0
106500	313018.5
106600	310366.5
106700	311331.0
106800	313764.0
106900	312112.5
107000	312672.0
107100	313407.0
107200	312792.0
107300	313516.5
107400	314589.0
107500	313443.0
107600	314662.5
107700	316098.0
107800	314682.0
107900	317397.0
108000	315255.0
108100	316251.0
108200	314728.5
108300	317062.5
108400	317691.0
108500	318760.5
108600	316903.5
108700	317478.0
108800	317608.5
108900	317886.0
109000	318169.5
109100	318787.5
109200	319275.0
109300	318897.0
109400	318898.5
109500	320754.0
109600	319944.0
109700	320281.5
109800	321307.5
109900	319162.5
110000	320844.0
110100	320274.0
110200	320830.5
110300	321915.0
110400	320827.5
110500	322333.5
110600	322092.0
110700	322185.0
110800	323047.5
110900	325876.5
111000	325318.5
111100	323341.5
111200	324892.5
111300	325569.0
111400	323673.0
111500	326224.5
111600	325501.5
111700	326953.5
111800	326245.5
111900	325143.0
112000	326101.5
112100	327670.5
112200	325321.5
