#MCS	Total_cells	P_mean	P10	P20	P30	P40	P50	P60	P70	P75	P80	P90	P95	P99	P_max
153900	250	35.87280594184899	29.691751227597344	31.92033744175333	33.94472215375045	35.657630738744956	36.82944963165255	37.927583223777766	38.79078998801997	39.31986819055692	39.77495622171409	40.6369119178742	41.81536655279351	43.401022974411006	44.87986331304273
154000	250	35.92949241928	29.426091520889806	31.705424269956346	33.945244690968046	35.99719753272802	36.91146600216052	37.90097159118195	38.547408494223234	39.14182788155267	39.7495475920161	41.40136670108986	42.029108994030686	43.58012923187334	44.453456463987095
154100	251	35.67656232037936	29.617876412659825	31.980561744357146	33.8128203017759	35.591589175553054	36.68797662819816	37.663672403132296	38.12001699553548	38.45006688303238	39.121846497804654	40.26224105987967	41.53988232242045	43.62145499066628	45.17746920115496
154200	251	35.73728525154831	28.539444739568353	31.62178260957444	33.73050524047994	36.03810787099974	36.915064024526146	37.827567815050315	38.40607350651226	39.01825229278529	39.698134324335115	40.525995325353506	41.79763530631499	43.654647433634636	47.30477932546455
154300	251	35.60424366654401	29.44745786859039	32.17607031461739	33.71186281543669	35.870525172802445	36.67142847189825	37.679904702506974	38.17880758235697	38.576066330378126	39.08736316131581	39.990260781440156	41.348363162454916	43.68490103390741	45.50477937314827
154400	251	35.68512266368852	28.886626432031335	32.12231970568973	34.391559452704314	36.040023611915785	36.73880212734002	37.802388524945854	38.1811147112021	38.68083469918474	39.516516592329936	40.98294416578756	41.576157803637216	42.22330744469673	43.531964484003765
154500	251	35.5272406267757	28.704974367751674	31.89960624113064	33.76102663249367	35.66747036861125	36.45777872780218	37.53970542643583	38.114221707603065	38.32237828778216	39.11069537505318	40.165657505309355	41.5117779225302	43.782356628249545	45.02426485951037
154600	251	36.01507125235815	29.482023602537993	32.42477545836664	34.40407013352524	36.05031642780523	37.03073632370797	37.92116446174077	38.581071975997475	39.164912902913784	39.74234056095702	41.40045208929769	42.0421428987147	44.56774173927988	46.54720335676393
154700	251	35.80010057932071	29.285265337486635	31.548956988945065	33.23583896330092	35.72790890460783	36.50372217751283	37.81069693537029	38.64858296053717	39.156322967838605	39.762376876344206	41.3638538847008	41.904223285669104	45.01845583866816	47.391433986254924
154800	251	35.6334282531558	29.010126489794857	31.61481315785477	33.74081178927918	35.225861188415365	36.5605352253242	37.803336095721534	38.255190026622586	38.39996922810951	38.997192875618566	40.22240188857177	41.86273616518611	43.57221564260544	47.71327846015083
154900	251	35.65012270359856	29.303454576506738	32.18837500179143	33.6117773688693	35.27269041080763	36.49095057140585	37.56037345567347	38.27319387136049	38.68187840032897	39.31532946387051	40.15077103109434	41.55142483310101	44.20019414159469	45.52886689692423
155000	252	35.636224637144565	29.402546447050646	31.463337789553044	33.263803287511294	35.1974532912187	36.58877695431238	37.70813681845829	38.34514745221804	38.86878673583169	39.6016963386086	41.154343239616175	41.708658067155966	42.3158250966648	43.371234507792906
155100	253	35.72171875243431	30.065044674739692	32.19768042146679	33.58902743050712	35.138003524727175	36.36638621313341	37.88350607650791	38.48805073822732	38.929805487267004	39.604011707199604	40.40746108777093	41.642126582407215	43.51473023153063	45.30558351660875
155200	253	35.80555778864004	28.362872478620922	31.4551227629152	33.767214681646145	35.48128369751812	37.001636287857764	37.96128103782648	38.83538898586194	39.382991510417924	39.86808457618063	41.409576234563794	41.95172404735022	43.563960515871	45.30558351660875
155300	253	35.84368663306093	29.492170849583637	32.22783514478906	33.646628747340586	35.50546323178969	36.815376832342736	37.92483114865536	38.470118304620335	39.120555604284164	39.67807603629226	40.8497596600384	41.78152385654648	43.82890460064925	47.1205660735086
155400	253	35.75163013491771	29.439842970110476	31.608020860671424	33.64040499262264	35.572070590865046	36.535568795321524	37.81398184739264	38.42854054693271	38.90632221152191	39.60384141911818	40.28187362771896	41.83164348412502	43.78485711646456	48.92056602582488
155500	253	35.63791910812843	28.9672207597303	31.390573967017737	33.800549946876345	35.05992094622925	36.40045069587359	37.802981786648886	38.255953576407045	38.51232502957646	39.283801449569	40.85026777770072	41.98570750592262	43.74620117266437	45.33083833771707
155600	253	36.08901854507975	30.069010739087755	32.51694165018453	34.36153656531606	35.987988243421206	36.84350183159768	37.971105561492	38.68661762749834	39.160710632517294	39.68514573825341	40.941723463754535	41.79845653432057	43.435722054912695	47.627392842308836
155700	253	35.96258460938116	29.71915936896112	32.22076681611888	34.12156495302079	35.99583248149465	36.7837774069103	37.890614230616485	38.3107369001511	38.909480780774174	39.753134628053886	40.601779014752175	41.63647960990056	44.311917405236585	47.1205660735086
155800	253	35.86618313611148	29.172224263821047	32.25513342287449	34.05230164919158	35.268273907018376	36.63774164417737	37.92353201538899	38.65437550188762	39.27706957718874	39.752008529450904	41.13378644694785	41.86858775804867	44.82325955477659	45.32181581598343
155900	253	35.61446596170589	27.85079149853409	31.91332267143134	33.4827374552955	35.35201719093275	36.83929956120119	37.802981786648886	38.14382986111559	38.77105305006626	39.64030609089714	41.36232953171384	42.11322581309141	44.439826276359874	45.51816896019591
156000	253	35.70572136251312	29.507422619199133	31.392864616371117	33.59032107060957	35.650188874928425	36.51992701106792	37.80913687681787	38.365410360616806	38.909480780774174	39.60501970277837	41.11811994345663	41.93060008550746	43.82817675643026	45.435441911606176
156100	253	35.99333250519582	29.209929340947202	31.96409186564306	33.90485139675002	36.08077327514293	37.07610985766223	37.9692268994324	38.47660710449727	39.3068013268894	39.670042284063676	40.67454970374238	41.85886485791561	43.76263726842036	47.1205660735086
156200	253	35.96562546218027	29.133018179654574	32.0705658618459	33.87471040633754	35.483237890581584	37.00291344846846	37.92464163450022	38.7886641335841	39.55245561725678	39.77789781099163	40.86209181303202	42.113772382901146	45.31168642172051	48.33896356320474
156300	253	35.91943717537987	29.983440978170982	31.64603218168595	34.05054521002912	36.02185085238743	36.57882746116775	37.72524253089578	38.30289540865961	38.980218999115095	39.60690111141994	40.60709090425989	41.789939383667296	43.87543719218999	44.738963658572175
156400	254	36.00621242095017	29.15792761808161	31.949117500805368	34.56911636328386	36.16136348296895	37.10425545628186	38.0381001886235	38.83969425308187	39.58470735590436	39.73993180857942	40.67670302399784	41.679026911019534	43.63257699964899	48.69563469633431
156500	254	35.841782703874294	28.94910911165052	31.844033275073524	33.58062014313218	36.019590415435594	36.98747079140685	37.98324545374853	38.77901813774588	39.33181582207635	39.74798204029976	40.698715505104154	41.59286526169071	44.06860182940687	45.08371462600189
156600	254	36.17701413858407	28.93475684762643	31.79248130500364	34.33033814084956	36.02878871841458	37.11005761066917	37.98220449918627	39.043790011835334	39.6491318689682	39.973611001607786	41.615280117053956	42.09251383854244	44.28224553102263	47.48428218936169
156700	254	35.872692384625964	29.961601531728046	32.171118227346234	34.186758509033005	35.620083590081414	36.45384081591919	37.8009493159996	38.39643575041991	38.937828939813244	39.560805226410594	40.26687591693462	41.63464557979778	43.43625956100197	43.7697086183307
156800	254	35.883822068103534	29.01270484360839	32.177130495253365	34.41530502702644	35.83081234426463	37.115296715754994	37.92555075312848	38.39196980815541	38.7437691915361	39.378024316946	40.94389875666566	41.99947268805308	43.26205402972817	45.489192520533834
156900	254	35.624514618017635	29.05291274354422	31.6285144819547	33.90657350363799	35.55782132366439	36.663944036061366	37.79533804905841	38.15760396963742	38.69541561615688	39.13202258396086	40.30179595995487	41.63237003664517	42.92996720838631	43.62813605128031
157000	254	35.83904462188209	29.387785628960227	31.72485084414875	34.011371398200666	35.90518978370055	36.70617273367316	37.84873709549538	38.65399510028637	39.06870357013531	39.65752336349688	40.99484235883174	41.754533882285884	43.521717673362126	47.971251170602045
157100	254	35.71861064473647	29.542418193223238	31.726957472510914	33.44099627598134	35.44960050133595	36.87335717748647	37.798842687637446	38.304448600757134	38.7829869486759	39.63071397700005	40.36157394299043	41.640315211605596	44.12440798027226	45.25070680907811
157200	254	35.996621128495065	30.287679861712967	32.51419927294519	34.04403512414201	35.66586361816553	36.6282247376912	37.86927054221705	38.70628178103016	39.24740992526449	39.63726182838909	40.47762801706449	41.463481338726616	43.59671460435879	43.90863073379114
157300	254	35.879357495600665	28.909262387242233	32.40636700711766	34.23204758559204	35.82392391671274	36.833373810625744	37.86254965616463	38.6783229499837	39.06366359224148	39.60186937327198	40.381519621173	41.6209476889253	42.94469458684138	43.45331610962239
