#MCS	Surface_energy
85900	6474.200194305881
86000	6686.387271364507
86100	6799.228008802405
86200	6944.130526108761
86300	6482.809514287939
86400	6542.222459699637
86500	6613.039644319149
86600	6368.957273303561
86700	6140.424830895812
86800	6288.878624724193
86900	6361.4669129845615
87000	6508.902407153704
87100	6923.153154598411
87200	6399.621415481554
87300	5909.891727825367
87400	6487.492283552634
87500	6665.262700116738
87600	6688.931464370854
87700	6963.136312535295
87800	6076.016597142191
87900	6421.817389771316
88000	6551.500118224557
88100	6530.0239804435405
88200	6715.387971058044
88300	6812.365353832796
88400	6376.374717368501
88500	6603.227810309079
88600	6147.690318604318
88700	6474.355276724874
88800	7046.624651719014
88900	6729.278000554162
89000	5889.057798279357
89100	7243.297260591393
89200	6734.706620493309
89300	6652.9165139056595
89400	6019.989692248377
89500	6455.632025749249
89600	6550.748914079172
89700	6643.04267720977
89800	6728.83392838632
89900	6858.995731677061
90000	7357.739528657032
90100	6803.562917744183
90200	6609.812448882784
90300	6392.600055150664
90400	6484.465364691407
90500	7041.395757254669
90600	7172.825958405309
90700	6651.5602123095805
90800	6519.59948435122
90900	6983.777746635952
91000	6484.616902326844
91100	6736.425413313356
91200	7162.379337322797
91300	6171.273179706365
91400	7105.668991295279
91500	6601.159720943728
91600	6410.434884844668
91700	7283.904309439833
91800	7520.520525856081
91900	7374.577604942573
92000	7409.802743533719
92100	7305.944907093405
92200	7434.328910770364
92300	6974.532648314355
92400	6905.660388230003
92500	6389.639172550833
92600	6486.027441664955
92700	7097.286825514165
92800	6620.35133874062
92900	6474.462406017536
93000	7188.924153801206
93100	6628.7258162481785
93200	6947.609734948353
93300	6811.499706399074
93400	6904.410898807426
93500	6886.0547822104245
93600	6982.276402676174
93700	6976.120372703078
93800	6432.799211820847
93900	7157.246602972109
94000	7101.518393391161
94100	7121.391303372745
94200	6913.761967483328
94300	7014.561100442069
94400	7078.7809278473915
94500	6835.231678724934
94600	6645.845630336803
94700	6974.965358272867
