#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
89900	2591.0	2591.0
90000	2583.0	2583.0
90100	2580.0	2580.0
90200	2565.0	2565.0
90300	2581.0	2581.0
90400	2591.0	2591.0
90500	2601.0	2601.0
90600	2612.0	2612.0
90700	2608.0	2608.0
90800	2605.0	2605.0
90900	2611.0	2611.0
91000	2604.0	2604.0
91100	2595.0	2595.0
91200	2602.0	2602.0
91300	2613.0	2613.0
91400	2594.0	2594.0
91500	2582.0	2582.0
91600	2589.0	2589.0
91700	2616.0	2616.0
91800	2651.0	2651.0
91900	2608.0	2608.0
92000	2635.0	2635.0
92100	2626.0	2626.0
92200	2637.0	2637.0
92300	2637.0	2637.0
92400	2642.0	2642.0
92500	2622.0	2622.0
92600	2627.0	2627.0
92700	2635.0	2635.0
92800	2659.0	2659.0
92900	2654.0	2654.0
93000	2625.0	2625.0
93100	2621.0	2621.0
93200	2644.0	2644.0
93300	2630.0	2630.0
93400	2643.0	2643.0
93500	2664.0	2664.0
93600	2653.0	2653.0
93700	2651.0	2651.0
93800	2669.0	2669.0
93900	2685.0	2685.0
94000	2689.0	2689.0
94100	2678.0	2678.0
94200	2668.0	2668.0
94300	2668.0	2668.0
94400	2690.0	2690.0
94500	2696.0	2696.0
94600	2703.0	2703.0
94700	2713.0	2713.0
94800	2707.0	2707.0
94900	2711.0	2711.0
95000	2718.0	2718.0
95100	2693.0	2693.0
95200	2702.0	2702.0
95300	2713.0	2713.0
95400	2704.0	2704.0
95500	2718.0	2718.0
95600	2689.0	2689.0
95700	2708.0	2708.0
95800	2708.0	2708.0
95900	2751.0	2751.0
96000	2741.0	2741.0
96100	2704.0	2704.0
96200	2730.0	2730.0
96300	2728.0	2728.0
96400	2723.0	2723.0
96500	2715.0	2715.0
96600	2752.0	2752.0
96700	2758.0	2758.0
96800	2726.0	2726.0
96900	2744.0	2744.0
97000	2745.0	2745.0
97100	2721.0	2721.0
97200	2716.0	2716.0
97300	2729.0	2729.0
97400	2724.0	2724.0
97500	2729.0	2729.0
97600	2736.0	2736.0
97700	2770.0	2770.0
97800	2754.0	2754.0
97900	2769.0	2769.0
98000	2749.0	2749.0
98100	2755.0	2755.0
98200	2748.0	2748.0
98300	2748.0	2748.0
98400	2757.0	2757.0
98500	2762.0	2762.0
98600	2802.0	2802.0
98700	2782.0	2782.0
98800	2787.0	2787.0
98900	2785.0	2785.0
99000	2780.0	2780.0
99100	2792.0	2792.0
99200	2812.0	2812.0
99300	2811.0	2811.0
99400	2804.0	2804.0
99500	2816.0	2816.0
99600	2810.0	2810.0
99700	2813.0	2813.0
99800	2827.0	2827.0
99900	2829.0	2829.0
100000	2835.0	2835.0
100100	2861.0	2861.0
100200	2852.0	2852.0
100300	2850.0	2850.0
100400	2856.0	2856.0
100500	2866.0	2866.0
100600	2890.0	2890.0
100700	2879.0	2879.0
100800	2888.0	2888.0
100900	2870.0	2870.0
101000	2851.0	2851.0
101100	2899.0	2899.0
101200	2854.0	2854.0
101300	2890.0	2890.0
101400	2867.0	2867.0
101500	2900.0	2900.0
101600	2885.0	2885.0
101700	2849.0	2849.0
101800	2878.0	2878.0
101900	2878.0	2878.0
102000	2872.0	2872.0
102100	2889.0	2889.0
102200	2900.0	2900.0
102300	2908.0	2908.0
102400	2926.0	2926.0
102500	2911.0	2911.0
102600	2910.0	2910.0
102700	2914.0	2914.0
102800	2906.0	2906.0
102900	2902.0	2902.0
103000	2911.0	2911.0
103100	2907.0	2907.0
103200	2908.0	2908.0
103300	2934.0	2934.0
103400	2896.0	2896.0
103500	2924.0	2924.0
103600	2904.0	2904.0
103700	2916.0	2916.0
103800	2929.0	2929.0
103900	2930.0	2930.0
104000	2937.0	2937.0
104100	2935.0	2935.0
104200	2941.0	2941.0
104300	2957.0	2957.0
104400	2930.0	2930.0
104500	2932.0	2932.0
104600	2933.0	2933.0
104700	2920.0	2920.0
104800	2913.0	2913.0
104900	2944.0	2944.0
105000	2932.0	2932.0
105100	2945.0	2945.0
105200	2927.0	2927.0
105300	2933.0	2933.0
105400	2934.0	2934.0
105500	2939.0	2939.0
105600	2928.0	2928.0
105700	2966.0	2966.0
105800	2957.0	2957.0
105900	2966.0	2966.0
106000	2943.0	2943.0
106100	2961.0	2961.0
106200	2972.0	2972.0
106300	2992.0	2992.0
106400	2953.0	2953.0
106500	2983.0	2983.0
106600	2960.0	2960.0
106700	2995.0	2995.0
106800	2988.0	2988.0
106900	2986.0	2986.0
107000	2997.0	2997.0
107100	2984.0	2984.0
107200	2980.0	2980.0
107300	2960.0	2960.0
107400	2987.0	2987.0
107500	2986.0	2986.0
107600	2981.0	2981.0
107700	2989.0	2989.0
107800	3022.0	3022.0
107900	3015.0	3015.0
108000	3008.0	3008.0
108100	3002.0	3002.0
108200	2991.0	2991.0
