#MCS	Mean_pressure	{Cells_over_pressure_threshold}
79900	34.87545089687778	68
80000	34.63734001665719	65
80100	34.854283847803494	67
80200	34.7297958671362	65
80300	34.61508567045559	56
80400	34.80332933280863	69
80500	35.30055255370062	70
80600	35.01295703156011	70
80700	34.85277385002773	66
80800	34.6157081311842	68
80900	34.74219738226405	64
81000	34.72688770279505	71
81100	34.81784306331423	67
81200	34.73229690779419	68
81300	35.113951056799884	72
81400	35.28161975134511	73
81500	35.28649437129541	77
81600	35.32296461048794	72
81700	34.89422282492236	75
81800	35.264741287044195	75
81900	35.01238219360255	72
82000	34.69255151468212	70
82100	35.20241298029436	68
82200	35.234866340014584	73
82300	34.95329492967858	75
82400	34.734611921913874	71
82500	35.17217472659005	72
82600	35.30734400566907	74
82700	35.40974884591096	77
82800	35.02889822234772	70
82900	35.078079802422	71
83000	34.72683025323425	71
83100	34.91312959639726	67
83200	35.398530209270746	73
83300	35.362138567213954	77
83400	34.861505851563976	71
83500	35.09056720265526	78
83600	35.14467556725637	69
83700	35.00859003846472	69
83800	35.02061508487839	70
83900	34.87571941761774	71
84000	35.21917093717819	69
84100	35.237723157787634	73
84200	34.958471696044505	74
84300	34.907279639802034	71
84400	34.58581275668943	66
84500	34.65512586467865	66
84600	34.84162857510092	70
84700	35.28213457973525	76
84800	34.922306274541064	71
84900	35.22172778508837	74
85000	35.17206872760283	73
85100	35.06220601959297	75
85200	35.242416239935274	73
85300	35.09306467292925	76
85400	34.59344319993935	70
85500	34.620460284858076	73
85600	34.864529719606814	71
85700	35.15512302931329	74
85800	34.86890544757191	73
85900	35.40300193947619	81
86000	35.19616736167296	67
86100	34.93944385063901	70
86200	35.16673718668196	71
86300	35.339355323283456	80
86400	34.995515751242344	70
86500	34.978739144787205	78
86600	35.5278555297206	81
86700	35.285637666762234	78
86800	35.37588809705455	76
86900	35.727017175880555	84
87000	35.38180143407925	78
87100	34.957314827940024	74
87200	35.48775879203326	82
87300	35.7510317661545	79
87400	35.82731193422366	81
87500	35.24214029163699	68
87600	35.45001378116638	82
87700	35.334768333520245	82
87800	35.429475692512	81
87900	35.20294409193832	82
88000	35.50443591300837	79
88100	35.04769441434038	80
88200	35.202998473214436	79
88300	35.274591111275576	76
88400	35.58859575860933	78
88500	35.229855023165136	81
88600	35.69618889271734	81
88700	35.542332591646975	84
88800	35.28898665933918	76
88900	35.167955036050266	77
89000	35.66542635928807	79
89100	35.48740675897739	77
89200	35.55948064198053	76
89300	34.92368378282676	77
89400	35.7659108718174	87
89500	35.74444509730849	88
89600	35.0979906424217	70
89700	35.2139177033986	81
89800	35.421452548975026	80
89900	35.18157980684858	85
90000	35.26131464428168	80
90100	35.5979504659252	81
90200	35.09509238704431	75
90300	35.318362358063474	85
90400	35.9811972151873	92
90500	35.548806983111454	81
90600	35.30650873488133	75
90700	35.543400424899986	83
90800	35.33221366185676	81
90900	35.28913497554204	81
91000	35.753426358217965	85
91100	35.381356392327454	82
91200	35.371755375159644	85
91300	35.63166943183391	86
91400	35.53480649096254	82
91500	36.06531117979491	90
91600	35.93356480745933	81
91700	35.69956703042112	87
91800	35.93083130440199	92
91900	35.661409084527456	84
92000	35.76009040370279	81
92100	35.670614688886424	88
92200	35.39228724657047	88
92300	35.818541844999174	93
92400	35.70150036363748	85
92500	35.597840935769426	88
92600	35.933355537146916	88
92700	35.26070628029374	81
92800	35.45419559691618	83
92900	35.50836658547137	84
93000	35.319388840750705	84
93100	35.38667699898061	81
93200	35.4986226500676	84
93300	35.788663240112804	83
93400	35.57634268426773	86
93500	35.5546920308305	91
93600	35.62873328150072	93
93700	35.253420850810365	90
93800	35.248257440177994	86
93900	35.31649684483291	84
94000	35.64860994390077	83
94100	35.281353553634204	84
94200	35.57058817618766	90
94300	35.51252051631747	90
94400	35.39875067447302	88
94500	35.29683419004886	83
94600	35.62415850112407	83
94700	35.45408690679893	87
94800	35.57970629975376	89
94900	35.47251755560844	84
95000	35.623996842600356	91
95100	35.742319655735535	93
95200	35.72070440560527	90
95300	35.24801557939528	83
95400	35.645697892032636	91
95500	35.46828774751246	92
95600	35.82227685210664	93
95700	35.89229598585853	95
95800	35.38853482655469	85
95900	35.27988772307592	87
96000	35.31192043493292	91
96100	35.897573962182015	94
96200	35.555515982240415	94
96300	35.493375268232846	84
96400	35.54438345006326	92
96500	35.834761757197	93
96600	35.982138721692834	98
96700	35.67101826944065	93
96800	35.89852427269587	96
96900	35.49322373465243	94
97000	35.4983777774584	86
97100	35.483887970006485	92
97200	35.72320176268393	90
97300	35.454438095643134	94
97400	35.92814486692003	96
97500	35.304084196692884	89
97600	36.1710987197893	103
97700	35.5396314248414	97
97800	35.3386247277829	91
97900	35.81937171383438	99
98000	35.672873467747365	96
98100	35.47695603705293	94
98200	35.328271928562096	91
98300	35.66713793029084	84
98400	35.70524728524754	90
98500	35.510435273921175	94
98600	35.774202870768185	92
98700	35.589664651515974	95
98800	35.55884308179055	93
98900	35.40481089318311	94
99000	35.72766206566075	96
99100	35.67213427409517	95
99200	35.65389295543223	94
99300	35.575721402301724	93
99400	35.13766106900749	91
99500	35.18215702680838	89
99600	35.48496785915929	93
99700	35.3388679543218	90
99800	35.10623076532648	93
99900	35.58117025020306	97
100000	35.47516191466817	96
100100	35.153516128767016	85
100200	35.45349540287959	89
100300	35.230375436506634	90
100400	35.86263935244376	99
100500	35.44492724083206	86
100600	35.610753670202094	93
100700	35.36819771662949	93
100800	35.014334882722764	89
100900	35.19794410800883	98
